AATS3s,AATS3m,MATS2dv,GATS1c,SIC3,BDE,T,log10(k)
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1850.0,-10.115925307226751
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1855.0,-10.11276460293386
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1860.0,-10.109614550889649
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1865.0,-10.106475082418658
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1870.0,-10.10334612948902
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1875.0,-10.100227624704608
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1880.0,-10.09711950129729
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1885.0,-10.09402169311931
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1890.0,-10.090934134635795
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1895.0,-10.087856760917337
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1900.0,-10.08478950763272
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1905.0,-10.081732311041746
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1910.0,-10.078685107988147
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1915.0,-10.075647835892623
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1920.0,-10.072620432745982
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1925.0,-10.069602837102359
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1930.0,-10.066594988072563
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1935.0,-10.06359682531749
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1940.0,-10.060608289041665
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1945.0,-10.057629319986841
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1950.0,-10.054659859425719
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1955.0,-10.051699849155751
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1960.0,-10.048749231493016
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1965.0,-10.04580794926621
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1970.0,-10.0428759458107
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1975.0,-10.03995316496267
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1980.0,-10.037039551053358
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1985.0,-10.034135048903359
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1990.0,-10.031239603817019
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1995.0,-10.02835316157691
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,2000.0,-10.025475668438368
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,700.0,-11.6628414
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,705.0,-11.65607378
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,710.0,-11.64934117
